Srial_No.,Symbol,Company Name,"Market Capitalisation in Lakh"
102,NHPC,NHPC Limited,"2,003,984",
103,IDBI,IDBI Bank Limited,"2,003,455",
104,BAJAJHLDNG,Bajaj Holdings & Investment Limited,"2,001,669",
105,ABB,ABB India Limited,"1,982,191",
106,JUBLFOOD,Jubilant Foodworks Limited,"1,941,858",
107,MOTHERSUMI,Motherson Sumi Systems Limited,"1,927,919",
108,PAGEIND,Page Industries Limited,"1,892,087",
109,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,"1,860,886",
110,NIACL,The New India Assurance Company Limited,"1,850,704",
111,GICRE,General Insurance Corporation of India,"1,845,629",
112,PFIZER,Pfizer Limited,"1,840,431",
113,ACC,ACC Limited,"1,818,720",
114,BEL,Bharat Electronics Limited,"1,814,043",
115,GILLETTE,Gillette India Limited,"1,782,444",
116,IPCALAB,IPCA Laboratories Limited,"1,759,137",
117,RECLTD,REC Limited,"1,752,740",
118,HAL,Hindustan Aeronautics Limited,"1,739,818",
119,OFSS,Oracle Financial Services Software Limited,"1,737,325",
120,TRENT,Trent Limited,"1,721,804",
121,RAJESHEXPO,Rajesh Exports Limited,"1,616,991",
122,PIIND,PI Industries Limited,"1,615,933",
123,SRF,SRF Limited,"1,599,855",
124,COROMANDEL,Coromandel International Limited,"1,598,536",
125,GUJGASLTD,Gujarat Gas Limited,"1,589,149",
126,APOLLOHOSP,Apollo Hospitals Enterprise Limited,"1,584,705",
127,BATAINDIA,Bata India Limited,"1,582,303",
128,VOLTAS,Voltas Limited,"1,577,989",
129,IRCTC,Indian Railway Catering And Tourism Corporation Limited,"1,572,080",
130,BALKRISIND,Balkrishna Industries Limited,"1,530,396",
131,VBL,Varun Beverages Limited,"1,528,462",
132,NAM-INDIA,Nippon Life India Asset Management Limited,"1,525,197",
133,GODREJPROP,Godrej Properties Limited,"1,520,331",
134,ADANIENT,Adani Enterprises Limited,"1,513,339",
135,SRTRANSFIN,Shriram Transport Finance Company Limited,"1,498,901",
136,RELAXO,Relaxo Footwears Limited,"1,486,872",
137,AUBANK,AU Small Finance Bank Limited,"1,483,255",
138,SANOFI,Sanofi India Limited,"1,440,185",
139,TVSMOTOR,TVS Motor Company Limited,"1,413,622",
140,ASTRAL,Astral Poly Technik Limited,"1,411,479",
141,MINDTREE,MindTree Limited,"1,363,805",
142,TORNTPOWER,Torrent Power Limited,"1,341,161",
143,SUNDARMFIN,Sundaram Finance Limited,"1,336,857",
144,AARTIIND,Aarti Industries Limited,"1,335,943",
145,AIAENG,AIA Engineering Limited,"1,314,119",
146,CROMPTON,Crompton Greaves Consumer Electricals Limited,"1,309,650",
147,ASHOKLEY,Ashok Leyland Limited,"1,263,744",
148,MPHASIS,MphasiS Limited,"1,238,798",
149,LTTS,L&T Technology Services Limited,"1,211,695",
150,RAMCOCEM,The Ramco Cements Limited,"1,208,156",
151,OBEROIRLTY,Oberoi Realty Limited,"1,206,250",
152,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,"1,195,063",
153,AJANTPHARM,Ajanta Pharma Limited,"1,192,251",
154,ZEEL,Zee Entertainment Enterprises Limited,"1,190,519",
155,LICHSGFIN,LIC Housing Finance Limited,"1,187,472",
156,ATUL,Atul Limited,"1,183,043",
157,ABFRL,Aditya Birla Fashion and Retail Limited,"1,182,921",
158,LALPATHLAB,Dr. Lal Path Labs Ltd.,"1,168,199",
159,WABCOINDIA,WABCO India Limited,"1,164,856",
160,SCHAEFFLER,Schaeffler India Limited,"1,161,852",
161,SUNTV,Sun TV Network Limited,"1,126,885",
162,EXIDEIND,Exide Industries Limited,"1,118,600",
163,POLYCAB,Polycab India Limited,"1,103,922",
164,SUPREMEIND,Supreme Industries Limited,"1,102,212",
165,BHARATFORG,Bharat Forge Limited,"1,093,900",
166,ADANIPOWER,Adani Power Limited,"1,070,301",
167,BANKINDIA,Bank of India,"1,056,808",
168,MFSL,Max Financial Services Limited,"1,036,533",
169,L&TFH,L&T Finance Holdings Limited,"1,026,261",
170,IDFCFIRSTB,IDFC First Bank Limited,"1,014,890",
171,AKZOINDIA,Akzo Nobel India Limited,"1,007,830",
172,APLLTD,Alembic Pharmaceuticals Limited,"1,007,146",
173,GMRINFRA,GMR Infrastructure Limited,"986,877",
174,CASTROLIND,Castrol India Limited,"983,682",
175,UNIONBANK,Union Bank of India,"982,349",
176,ABCAPITAL,Aditya Birla Capital Limited,"974,985",
177,GSPL,Gujarat State Petronet Limited,"972,727",
178,SYNGENE,Syngene International Limited,"960,600",
179,GODREJIND,Godrej Industries Limited,"952,704",
180,FORTIS,Fortis Healthcare Limited,"952,380",
181,SAIL,Steel Authority of India Limited,"952,086",
182,ADANIGAS,Adani Gas Limited,"949,686",
183,CUB,City Union Bank Limited,"949,568",
184,DALBHARAT,Dalmia Bharat Limited,"946,655",
185,CANBK,Canara Bank,"932,361",
186,AAVAS,Aavas Financiers Limited,"930,895",
187,SUMICHEM,Sumitomo Chemical India Limited,"921,922",
188,NATCOPHARM,Natco Pharma Limited,"919,531",
189,M&MFIN,Mahindra & Mahindra Financial Services Limited,"909,350",
190,CRISIL,CRISIL Limited,"906,913",
191,CUMMINSIND,Cummins India Limited,"905,612",
192,OIL,Oil India Limited,"896,261",
193,IDEA,Vodafone Idea Limited,"890,797",
194,ISEC,ICICI Securities Limited,"890,560",
195,INDHOTEL,The Indian Hotels Company Limited,"890,347",
196,TATAPOWER,Tata Power Company Limited,"888,518",
197,IOB,Indian Overseas Bank,"887,271",
198,THERMAX,Thermax Limited,"882,293",
199,IIFLWAM,Iifl Wealth Management Limited,"874,811",
200,PHOENIXLTD,The Phoenix Mills Limited,"874,796",
201,ENDURANCE,Endurance Technologies Limited,"845,524",
202,JINDALSTEL,Jindal Steel & Power Limited,"838,453",
203,HATSUN,Hatsun Agro Product Limited,"835,277",
204,SOLARINDS,Solar Industries India Limited,"827,260",
205,FEDERALBNK,The Federal Bank  Limited,"818,380",
206,AMARAJABAT,Amara Raja Batteries Limited,"816,569",
207,SJVN,SJVN Limited,"815,432",
208,ESCORTS,Escorts Limited,"812,194",
209,MGL,Mahanagar Gas Limited,"808,447",
210,MANAPPURAM,Manappuram Finance Limited,"800,606",
211,VINATIORGA,Vinati Organics Limited,"796,098",
212,UCOBANK,UCO Bank,"780,408",
213,EMAMILTD,Emami Limited,"771,463",
214,ZYDUSWELL,Zydus Wellness Limited,"749,259",
215,MOTILALOFS,Motilal Oswal Financial Services Limited,"734,177",
216,SKFINDIA,SKF India Limited,"726,540",
217,BHEL,Bharat Heavy Electricals Limited,"724,269",
218,JKCEMENT,JK Cement Limited,"722,883",
219,NIITTECH,NIIT Technologies Limited,"716,402",
220,GODREJAGRO,Godrej Agrovet Limited,"706,234",
221,JSWENERGY,JSW Energy Limited,"701,288",
222,CENTRALBK,Central Bank of India,"699,446",
223,RBLBANK,RBL Bank Limited,"688,970",
224,HEXAWARE,Hexaware Technologies Limited,"676,402",
225,TTKPRESTIG,TTK Prestige Limited,"674,295",
226,PRESTIGE,Prestige Estates Projects Limited,"674,249",
227,TATACOMM,Tata Communications Limited,"664,478",
228,VGUARD,V-Guard Industries Limited,"663,544",
229,METROPOLIS,Metropolis Healthcare Limited,"644,520",
230,SIS,Security and Intelligence Services (India) Limited,"631,198",
231,MINDAIND,Minda Industries Limited,"630,370",
232,SFL,Sheela Foam Limited,"627,298",
233,RITES,RITES Limited,"615,250",
234,SUNDRMFAST,Sundram Fasteners Limited,"614,625",
235,NLCINDIA,NLC India Limited,"608,733",
236,PVR,PVR Limited,"607,672",
237,NAVINFLUOR,Navin Fluorine International Limited,"604,097",
238,PGHL,Procter & Gamble Health Limited,"603,056",
239,ASTRAZEN,AstraZeneca Pharma India Limited,"600,963",
240,KAJARIACER,Kajaria Ceramics Limited,"597,415",
241,FINEORG,Fine Organic Industries Limited,"584,394",
242,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,"581,926",
243,GLENMARK,Glenmark Pharmaceuticals Limited,"580,843",
244,TIMKEN,Timken India Limited,"577,078",
245,TATACHEM,Tata Chemicals Limited,"569,508",
246,IBVENTURES,Indiabulls Ventures Limited,"569,504",
247,ITI,ITI Limited,"562,868",
248,INDIAMART,Indiamart Intermesh Limited,"560,003",
249,SYMPHONY,Symphony Limited,"544,755",
250,JMFINANCIL,JM Financial Limited,"544,591",
251,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,"544,370",
252,NATIONALUM,National Aluminium Company Limited,"542,895",
253,CESC,CESC Limited,"541,562",
254,DEEPAKNTR,Deepak Nitrite Limited,"525,181",
255,BLUEDART,Blue Dart Express Limited,"521,789",
256,MAHABANK,Bank of Maharashtra,"518,346",
257,TIINDIA,Tube Investments of India Limited,"514,408",
258,BBTC,Bombay Burmah Trading Corporation Limited,"511,079",
259,ERIS,Eris Lifesciences Limited,"507,310",
260,NH,Narayana Hrudayalaya Ltd.,"505,793",
261,GRINDWELL,Grindwell Norton Limited,"505,105",
262,SHRIRAMCIT,Shriram City Union Finance Limited,"493,954",
263,ESSELPACK,Essel Propack Limited,"489,371",
264,GODFRYPHLP,Godfrey Phillips India Limited,"489,003",
265,FINPIPE,Finolex Industries Limited,"487,385",
266,BASF,BASF India Limited,"487,072",
267,CREDITACC,CREDITACCESS GRAMEEN LIMITED,"485,182",
268,ASTERDM,Aster DM Healthcare Limited,"480,724",
269,KEC,KEC International Limited,"476,899",
270,AEGISCHEM,Aegis Logistics Limited,"473,665",
271,UJJIVANSFB,Ujjivan Small Finance Bank Limited,"471,805",
272,APOLLOTYRE,Apollo Tyres Limited,"454,208",
273,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,"451,377",
274,BLUESTARCO,Blue Star Limited,"442,514",
275,VSTIND,VST Industries Limited,"428,042",
276,RATNAMANI,Ratnamani Metals & Tubes Limited,"424,010",
277,PERSISTENT,Persistent Systems Limited,"421,064",
278,CHALET,Chalet Hotels Limited,"420,606",
279,CARBORUNIV,Carborundum Universal Limited,"420,202",
280,GALAXYSURF,Galaxy Surfactants Limited,"417,817",
281,ORIENTELEC,Orient Electric Limited,"416,732",
282,DIXON,Dixon Technologies (India) Limited,"414,194",
283,LINDEINDIA,Linde India Limited,"413,884",
284,IBULHSGFIN,Indiabulls Housing Finance Limited,"413,678",
285,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,"408,405",
286,MRPL,Mangalore Refinery and Petrochemicals Limited,"405,727",
287,AVANTIFEED,Avanti Feeds Limited,"400,903",
288,HUDCO,Housing & Urban Development Corporation Limited,"400,380",
289,JUBILANT,Jubilant Life Sciences Limited,"396,929",
290,FRETAIL,Future Retail Limited,"393,535",
291,TATAELXSI,Tata Elxsi Limited,"391,781",
292,AMBER,Amber Enterprises India Limited,"386,934",
293,IEX,Indian Energy Exchange Limited,"383,283",
294,ASAHIINDIA,Asahi India Glass Limited,"379,585",
295,ENGINERSIN,Engineers India Limited,"379,463",
296,SPANDANA,Spandana Sphoorty Financial Limited,"377,008",
297,EIHOTEL,EIH Limited,"376,093",
298,CANFINHOME,Can Fin Homes Limited,"371,567",
299,KIOCL,KIOCL Limited,"368,180",
300,GMMPFAUDLR,GMM Pfaudler Limited,"367,309",
301,GRANULES,Granules India Limited,"365,227",
302,VTL,Vardhman Textiles Limited,"359,403",
303,EDELWEISS,Edelweiss Financial Services Limited,"358,672",
304,IRCON,Ircon International Limited,"358,384",
305,RADICO,Radico Khaitan Limited,"357,804",
306,COCHINSHIP,Cochin Shipyard Limited,"350,358",
307,LAURUSLABS,Laurus Labs Limited,"347,258",
308,NESCO,Nesco Limited,"344,655",
309,RALLIS,Rallis India Limited,"341,682",
310,VIPIND,VIP Industries Limited,"339,374",
311,BDL,Bharat Dynamics Limited,"339,345",
312,JYOTHYLAB,Jyothy Labs Limited,"338,566",
313,DCMSHRIRAM,DCM Shriram Limited,"335,588",
314,TATAINVEST,Tata Investment Corporation Limited,"335,548",
315,MIDHANI,Mishra Dhatu Nigam Limited,"335,058",
316,FDC,FDC Limited,"333,312",
317,CENTURYTEX,Century Textiles & Industries Limited,"330,731",
318,INDIACEM,The India Cements Limited,"328,026",
319,HEIDELBERG,HeidelbergCement India Limited,"321,451",
320,CEATLTD,CEAT Limited,"320,749",
321,BIRLACORPN,Birla Corporation Limited,"319,611",
322,GEPIL,GE Power India Limited,"319,330",
323,POWERINDIA,ABB Power Products and Systems India Limited,"317,735",
324,KRBL,KRBL Limited,"317,306",
325,QUESS,Quess Corp Limited,"314,419",
326,FLUOROCHEM,Gujarat Fluorochemicals Limited,"314,171",
327,FINCABLES,Finolex Cables Limited,"311,614",
328,APLAPOLLO,APL Apollo Tubes Limited,"310,008",
329,SUNTECK,Sunteck Realty Limited,"307,397",
330,BAJAJELEC,Bajaj Electricals Limited,"305,384",
331,GESHIP,The Great Eastern Shipping Company Limited,"302,457",
332,SUNCLAYLTD,Sundaram Clayton Limited,"301,913",
333,CERA,Cera Sanitaryware Limited,"300,624",
334,CGCL,Capri Global Capital Limited,"299,130",
335,DCBBANK,DCB Bank Limited,"294,084",
336,NBCC,NBCC (India) Limited,"293,400",
337,GPPL,Gujarat Pipavav Port Limited,"291,273",
338,DBL,Dilip Buildcon Limited,"288,653",
339,STAR,Strides Pharma Science Limited,"288,494",
340,MASFIN,MAS Financial Services Limited,"286,593",
341,KALPATPOWR,Kalpataru Power Transmission Limited,"282,588",
342,STARCEMENT,Star Cement Limited,"281,070",
343,OMAXE,Omaxe Limited,"279,289",
344,TEAMLEASE,Teamlease Services Limited,"278,182",
345,KNRCON,KNR Constructions Limited,"276,313",
346,PNBHOUSING,PNB Housing Finance Limited,"272,685",
347,INOXLEISUR,INOX Leisure Limited,"270,207",
348,TV18BRDCST,TV18 Broadcast Limited,"267,440",
349,REDINGTON,Redington (India) Limited,"266,910",
350,RVNL,Rail Vikas Nigam Limited,"266,883",
351,BRIGADE,Brigade Enterprises Limited,"265,925",
352,INDIANB,Indian Bank,"262,393",
353,THYROCARE,Thyrocare Technologies Limited,"262,359",
354,TECHNOE,Techno Electric & Engineering Company Limited,"261,800",
355,MAHINDCIE,Mahindra CIE Automotive Limited,"260,570",
356,VMART,V-Mart Retail Limited,"258,053",
357,GULFOILLUB,Gulf Oil Lubricants India Limited,"257,910",
358,SUDARSCHEM,Sudarshan Chemical Industries Limited,"257,733",
359,STRTECH,Sterlite Technologies Limited,"257,676",
360,AFFLE,Affle (India) Limited,"256,353",
361,SUVENPHAR,Suven Pharmaceuticals Limited,"255,901",
362,SPARC,Sun Pharma Advanced Research Company Limited,"252,724",
363,CYIENT,Cyient Limited,"252,164",
364,GRAPHITE,Graphite India Limited,"248,615",
365,VAIBHAVGBL,Vaibhav Global Limited,"247,807",
366,CENTURYPLY,Century Plyboards (India) Limited,"246,501",
367,SWANENERGY,Swan Energy Limited,"246,211",
368,EIDPARRY,EID Parry India Limited,"246,112",
369,LAXMIMACH,Lakshmi Machine Works Limited,"245,821",
370,ALKYLAMINE,Alkyl Amines Chemicals Limited,"245,430",
371,MOIL,MOIL Limited,"243,142",
372,PNCINFRA,PNC Infratech Limited,"241,147",
373,KEI,KEI Industries Limited,"240,185",
374,LUXIND,Lux Industries Limited,"238,628",
375,HATHWAY,Hathway Cable & Datacom Limited,"238,079",
376,FLFL,Future Lifestyle Fashions Limited,"237,509",
377,IIFL,IIFL Finance Limited,"237,178",
378,IDFC,IDFC Limited,"237,059",
379,CCL,CCL Products (India) Limited,"235,992",
380,GARFIBRES,Garware Technical Fibres Limited,"235,068",
381,MAHSCOOTER,Maharashtra Scooters Limited,"234,337",
382,KPRMILL,K.P.R. Mill Limited,"232,681",
383,JKLAKSHMI,JK Lakshmi Cement Limited,"230,633",
384,TASTYBITE,Tasty Bite Eatables Limited,"230,261",
385,INDOSTAR,IndoStar Capital Finance Limited,"229,100",
386,BALRAMCHIN,Balrampur Chini Mills Limited,"228,910",
387,INFIBEAM,Infibeam Avenues Limited,"225,988",
388,CDSL,Central Depository Services (India) Limited,"224,048",
389,BHARATRAS,Bharat Rasayan Limited,"219,218",
390,WELSPUNIND,Welspun India Limited,"217,021",
391,RESPONIND,Responsive Industries Limited,"216,600",
392,TRIDENT,Trident Limited,"216,578",
393,KSCL,Kaveri Seed Company Limited,"215,839",
394,CAPLIPOINT,Caplin Point Laboratories Limited,"213,615",
395,VAKRANGEE,Vakrangee Limited,"210,822",
396,TCIEXP,TCI Express Limited,"209,651",
397,ICRA,ICRA Limited,"206,990",
398,POLYMED,Poly Medicure Limited,"205,636",
399,CSBBANK,CSB Bank Limited,"204,765",
400,TCNSBRANDS,TCNS Clothing Co. Limited,"201,986",
401,SHILPAMED,Shilpa Medicare Limited,"199,456",
402,ZENSARTECH,Zensar Technologies Limited,"198,245",
403,HINDCOPPER,Hindustan Copper Limited,"197,071",
404,BAJAJCON,Bajaj Consumer Care Limited,"195,409",
405,INGERRAND,Ingersoll Rand (India) Limited,"194,964",
406,INDOCO,Indoco Remedies Limited,"193,884",
407,NETWORK18,Network18 Media & Investments Limited,"192,115",
408,SEQUENT,Sequent Scientific Limited,"192,066",
409,WOCKPHARMA,Wockhardt Limited,"191,184",
410,JUSTDIAL,Just Dial Limited,"190,366",
411,FSL,Firstsource Solutions Limited,"190,327",
412,TRITURBINE,Triveni Turbine Limited,"189,134",
413,BEML,BEML Limited,"188,087",
414,RAIN,Rain Industries Limited,"187,849",
415,IRB,IRB Infrastructure Developers Limited,"187,147",
416,HEG,HEG Limited,"186,802",
417,MHRIL,Mahindra Holidays & Resorts India Limited,"186,641",
418,IBREALEST,Indiabulls Real Estate Limited,"185,730",
419,MMTC,MMTC Limited,"184,500",
420,GET&D,GE T&D India Limited,"184,097",
421,UJJIVAN,Ujjivan Financial Services Limited,"180,467",
422,TATASTLBSL,Tata Steel Bsl Limited,"179,871",
423,FMGOETZE,Federal-Mogul Goetze (India) Limited.,"179,441",
424,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,"178,265",
425,ELGIEQUIP,Elgi Equipments Limited,"177,548",
426,DELTACORP,Delta Corp Limited,"177,058",
427,SCI,Shipping Corporation Of India Limited,"174,675",
428,LEMONTREE,Lemon Tree Hotels Limited,"174,294",
429,SONATSOFTW,Sonata Software Limited,"172,672",
430,VARROC,Varroc Engineering Limited,"172,087",
431,BSOFT,BIRLASOFT LIMITED,"168,766",
432,SHOPERSTOP,Shoppers Stop Limited,"168,589",
433,ESABINDIA,Esab India Limited,"167,184",
434,VESUVIUS,Vesuvius India Limited,"165,322",
435,MAXINDIA,Max India Limited,"163,886",
436,GUJALKALI,Gujarat Alkalies and Chemicals Limited,"163,783",
437,LAOPALA,La Opala RG Limited,"163,781",
438,MAHLOG,Mahindra Logistics Limited,"162,019",
439,WELCORP,Welspun Corp Limited,"161,869",
440,FAIRCHEM,Fairchem Speciality Limited,"161,524",
441,KARURVYSYA,Karur Vysya Bank Limited,"161,428",
442,GREAVESCOT,Greaves Cotton Limited,"160,804",
443,JSWHL,JSW Holdings Limited,"160,384",
444,ADVENZYMES,Advanced Enzyme Technologies Limited,"159,139",
445,SUPRAJIT,Suprajit Engineering Limited,"157,496",
446,SCHNEIDER,Schneider Electric Infrastructure Limited,"157,091",
447,GRSE,Garden Reach Shipbuilders & Engineers Limited,"156,478",
448,RCF,Rashtriya Chemicals and Fertilizers Limited,"156,404",
449,DHANUKA,Dhanuka Agritech Limited,"154,725",
450,PRSMJOHNSN,Prism Johnson Limited,"152,265",
451,NILKAMAL,Nilkamal Limited,"148,882",
452,KSB,Ksb Limited,"147,951",
453,NAVNETEDUL,Navneet Education Limited,"147,736",
454,PAPERPROD,Huhtamaki PPL Limited,"147,721",
455,JINDALSAW,Jindal Saw Limited,"146,447",
456,EQUITAS,Equitas Holdings Limited,"145,767",
457,GSFC,Gujarat State Fertilizers & Chemicals Limited,"145,644",
458,DEN,Den Networks Limited,"144,599",
459,TCI,Transport Corporation of India Limited,"144,472",
460,RAYMOND,Raymond Limited,"144,194",
461,ALLCARGO,Allcargo Logistics Limited,"143,609",
462,ORIENTREF,Orient Refractories Limited,"140,743",
463,FCONSUMER,Future Consumer Limited,"140,237",
464,VRLLOG,VRL Logistics Limited,"139,490",
465,DBCORP,D.B.Corp Limited,"139,258",
466,BALMLAWRIE,Balmer Lawrie & Company Limited,"135,863",
467,ECLERX,eClerx Services Limited,"135,137",
468,JAGRAN,Jagran Prakashan Limited,"135,016",
469,BSE,BSE Limited,"133,632",
470,JKPAPER,JK Paper Limited,"132,791",
471,MINDACORP,Minda Corporation Limited,"131,107",
472,KTKBANK,The Karnataka Bank Limited,"130,720",
473,MAHSEAMLES,Maharashtra Seamless Limited,"129,711",
474,ACCELYA,Accelya Solutions India Limited,"127,321",
475,SOBHA,Sobha Limited,"126,951",
476,KIRLOSENG,Kirloskar Oil Engines Limited,"125,669",
477,SUPPETRO,Supreme Petrochem Limited,"125,549",
478,SWSOLAR,Sterling And Wilson Solar Limited,"123,477",
479,HSCL,Himadri Speciality Chemical Limited,"123,308",
480,GAEL,Gujarat Ambuja Exports Limited,"120,114",
481,GREENLAM,Greenlam Industries Limited,"119,982",
482,VENKEYS,Venky's (India) Limited,"118,996",
483,JSL,Jindal Stainless Limited,"117,424",
484,AARTIDRUGS,Aarti Drugs Limited,"117,036",
485,PSPPROJECT,PSP Projects Limited,"117,018",
486,DIAMONDYD,Prataap Snacks Limited,"116,608",
487,NIITLTD,NIIT Limited,"116,320",
488,HFCL,HFCL Limited,"116,236",
489,ASHOKA,Ashoka Buildcon Limited,"116,079",
490,SOLARA,Solara Active Pharma Sciences Limited,"115,762",
491,ARVINDFASN,Arvind Fashions Limited,"115,269",
492,AHLUCONT,Ahluwalia Contracts (India) Limited,"114,951",
493,PTC,PTC India Limited,"114,703",
494,HGINFRA,H.G. Infra Engineering Limited,"113,104",
